destination_id,state_name,district_name,destination_name,lat,lon,total_rooms,daily_demand_peak,cc_accommodation,cc_transport,cc_attraction,cc_water_waste,cc_ecology,cc_social,binding_constraint,sustainable_capacity,continuous_pressure,excess_demand_daily,capacity_gap,poverty_rate,mean_household_income,median_household_income,latest_aor_pct,arch_heritage,arch_nature,arch_beach,arch_food,arch_urban,poi_tags,transit_mode,pbt_name
DST_011,Kedah,Kota Setar,Kota Setar,6.1248,100.3678,2717,3826,4402,5164,4973,5547,8799,5930,Accommodation Inventory,4402,0.869,0,0.131,8.4,5793,4895,47.0,0.325,0.121,0.05,0.659,0.827,art_gallery | baju_melayu | cinema | city_center | city_icon | colonial_heritage | crystal_caves | cultural_hub | cultural_shopping | dodol | flagship_mall | geology | historical_architecture | kuih_bahulu | lifestyle_retail | limestone_hill | malay_delicacies | malay_food | menara_view | observation_deck | paddy_panoramas | paintings | recreation | retail | revolving_restaurant | shopping_mall | supermarket | telecom_tower | traditional_market | urban_convenience,Federal Road & Express Coach,Majlis Bandaraya Alor Setar (MBAS)
DST_012,Kedah,Langkawi,Langkawi,6.3265,99.8432,5166,9639,8369,13012,12530,8193,22169,14940,Clean Water Buffer (SPAN Reserve),8193,1.176,1446,-0.176,8.4,5793,4895,47.0,0.318,0.582,0.693,0.628,0.632,beaches | beachfront_dining | burnt_rice | craft_market | cultural_heritage | duty_free | duty_free_chocolate | duty_free_island | eagle_monument | ferry_terminal | folk_history | folklore_legend | geopark | gunung_machinchang | historical_shrine | iconic_landmark | islands | kitchenware | kuah_town | kuah_waterfront | mangroves | mountain_views | natural_pools | nightlife | panoramic_geopark | photo_spot | prime_beach | rainforest_trekking | retail_shopping | seven_wells | siamese_history | skybridge | skycab | souvenirs | traditional_village | unesco_global_geopark | water_sports | waterfall,Federal Road & Express Coach,Majlis Perbandaran Langkawi Bandaraya Pelancongan (MPLBP)
DST_013,Kedah,Kuala Muda,Kuala Muda,5.6371,100.4883,2754,4069,4461,5493,5290,5900,9359,6307,Accommodation Inventory,4461,0.912,0,0.088,8.4,5793,4895,47.0,0.279,0.345,0.631,0.717,0.42,belacan | coastal | community_retail | dried_seafood | family_leisure | ferry_to_tanjung_dawai | fishing_village | ikan_bilis | jetty | mainland_beach | picnic | seafood | shopping_mall | sungai_petani,KTM ETS & Rail,Majlis Perbandaran Sungai Petani (MPSP)
DST_014,Kedah,Baling,Baling,5.6775,100.9189,782,790,1267,1067,1028,1146,1818,1225,Attraction Core Space Turnover,1028,0.769,0,0.231,8.4,5793,4895,47.0,0.25,0.92,0.05,0.5,0.2,caving | eco_adventure | gunung_baling | limestone_hiking | ulu_legong_hot_springs,KTM ETS & Rail,Majlis Daerah Baling (MDB)
DST_015,Kedah,Kulim,Kulim,5.3705,100.5552,1474,1824,2388,2462,2371,2645,4195,2827,Attraction Core Space Turnover,2371,0.769,0,0.231,8.4,5793,4895,47.0,0.25,0.88,0.05,0.6,0.7,canopy_walk | hi_tech_park | rainforest_trekking | sedim_river_rapids | tree_top_walk,KTM ETS & Rail,Majlis Perbandaran Kulim (MPKK)
DST_016,Kedah,Kubang Pasu,Kubang Pasu,6.3142,100.4283,1374,1710,2226,2308,2223,2479,3932,2650,Attraction Core Space Turnover,2223,0.769,0,0.231,8.4,5793,4895,47.0,0.4,0.5,0.05,0.65,0.6,border_trade | bukit_kayu_hitam | duty_free | golf_resort | tasik_darulaman,Federal Road & Express Coach,Majlis Perbandaran Kubang Pasu (MPKP)
DST_017,Kedah,Yan,Yan,5.7958,100.3752,890,898,1442,1212,1167,1302,2065,1392,Attraction Core Space Turnover,1167,0.769,0,0.231,8.4,5793,4895,47.0,0.45,0.96,0.25,0.35,0.2,cool_climate | historical_beacon | mountain_peak | panoramic_views | resort,KTM ETS & Rail,Majlis Daerah Yan (MDY)
DST_018,Kedah,Pendang,Pendang,5.9922,100.4789,712,732,1153,988,951,1061,1683,1134,Attraction Core Space Turnover,951,0.769,0,0.231,8.4,5793,4895,47.0,0.3,0.6,0.05,0.65,0.25,local_delicacies | paddy_expanse | rural_homestays | traditional_farming,KTM ETS & Rail,Majlis Daerah Pendang (MDP)
DST_019,Kedah,Padang Terap,Padang Terap,6.2575,100.6125,750,754,1215,1018,980,1093,1734,1168,Attraction Core Space Turnover,980,0.769,0,0.231,8.4,5793,4895,47.0,0.2,0.92,0.05,0.45,0.15,angler_haven | lake_resort | pedu_lake | rainforest_catchment | wilderness,Federal Road & Express Coach,Majlis Daerah Padang Terap (MDPT)
DST_020,Kedah,Sik,Sik,5.8239,100.7483,746,767,1209,1035,997,1112,1764,1189,Attraction Core Space Turnover,997,0.769,0,0.231,8.4,5793,4895,47.0,0.2,0.9,0.05,0.65,0.15,beris_lake | lata_mengkuang | rural_agritourism | tasik_beris_vineyard | waterfall,KTM ETS & Rail,Majlis Daerah Sik (MDS)
DST_021,Kelantan,Kota Bharu,Kota Bharu,6.1254,102.2381,2015,3235,3264,4367,4205,4691,7440,5014,Accommodation Inventory,3264,0.991,0,0.009,11.5,5265,4083,42.1,0.401,0.113,0.17,0.78,0.75,apparel | batik_songket | batik_workshops | bowling | casuarina_beach | celup_tepung | central_market | cinema | city_mall | coastal_breeze | coastal_shoreline | family_dining | fruits | iconic_heritage | kite_flying | kuih_akok | local_delicacies | midnight_shopping | nasi_kerabu | night_market | pacific_hypermarket | regional_mall | retail | riverfront | street_food | sunset_spot | supermarket | traditional_fishing,Federal Road & Express Coach,Majlis Perbandaran Kota Bharu Bandaraya Islam (MPKB-BRI)
DST_022,Kelantan,Bachok,Bachok,6.064,102.3995,784,1036,1270,1399,1347,1503,2383,1606,Accommodation Inventory,1270,0.816,0,0.184,11.5,5265,4083,42.1,0.239,0.522,0.943,0.616,0.228,camping_ground | coastal_pine | coastal_promenade | dune_beach | fishing_boats | food_stalls | melody_beach | picnic_park | sea_breeze,Federal Road & Express Coach,Majlis Daerah Bachok Bandar Pelancongan Islam (MDBachok)
DST_023,Kelantan,Pasir Mas,Pasir Mas,6.0425,102.1386,786,960,1273,1296,1248,1392,2207,1488,Attraction Core Space Turnover,1248,0.769,0,0.231,11.5,5265,4083,42.1,0.737,0.05,0.05,0.481,0.654,border_trade | clothing | cultural_landmark | district_mosque | duty_free | islamic_architecture | kitchenware | spiritual_tourism | thai_goods,Federal Road & Express Coach,Majlis Daerah Pasir Mas (MDPM)
DST_024,Kelantan,Pasir Puteh,Pasir Puteh,5.836,102.4019,436,478,706,646,622,693,1100,741,Attraction Core Space Turnover,622,0.769,0,0.231,11.5,5265,4083,42.1,0.35,0.65,0.88,0.7,0.25,coastal_casuarinas | jeram_pasu | pantai_bisikan_bayu | seafood | waterfall_picnic,Federal Road & Express Coach,Majlis Daerah Pasir Puteh (MDPP)
DST_025,Kelantan,Tanah Merah,Tanah Merah,5.808,102.1481,350,358,567,483,465,519,823,555,Attraction Core Space Turnover,465,0.769,0,0.231,11.5,5265,4083,42.1,0.3,0.65,0.05,0.6,0.3,bukit_panau | kusial_bridge | local_crafts | river_crossing,Federal Road & Express Coach,Majlis Daerah Tanah Merah (MDTanahMerah)
DST_026,Kelantan,Tumpat,Tumpat,6.1978,102.1694,496,546,804,737,709,791,1255,846,Attraction Core Space Turnover,709,0.769,0,0.231,11.5,5265,4083,42.1,0.95,0.4,0.7,0.85,0.4,border_duty_free | pengkalan_kubor | sitting_buddha | sleeping_buddha | wat_photivihan,Federal Road & Express Coach,Majlis Daerah Tumpat (MDTumpat)
DST_027,Kelantan,Machang,Machang,5.7656,102.2158,350,358,567,483,465,519,823,555,Attraction Core Space Turnover,465,0.769,0,0.231,11.5,5265,4083,42.1,0.3,0.8,0.05,0.6,0.25,hot_springs | hutan_lipur_bukit_bakar | rural_bazaar | waterfall,Federal Road & Express Coach,Majlis Daerah Machang (MDMachang)
DST_028,Kelantan,Gua Musang,Gua Musang,4.8822,101.9686,388,397,629,535,516,575,912,615,Attraction Core Space Turnover,516,0.769,0,0.231,11.5,5265,4083,42.1,0.45,0.96,0.05,0.6,0.25,gua_madu | gunung_stong | jungle_railway | limestone_caves | waterfall_trekking,Federal Road & Express Coach,Majlis Daerah Gua Musang (MDGM)
DST_029,Kelantan,Jeli,Jeli,5.6983,101.8439,350,352,567,475,457,510,809,545,Attraction Core Space Turnover,457,0.769,0,0.231,11.5,5265,4083,42.1,0.2,0.92,0.05,0.45,0.2,east_west_highway | geological_monument | gunung_reng | lata_janggut | river_cascades,Federal Road & Express Coach,Majlis Daerah Jeli (MDJeli)
DST_030,Kelantan,Kuala Krai,Kuala Krai,5.5317,102.2003,386,392,625,530,510,569,902,608,Attraction Core Space Turnover,510,0.769,0,0.231,11.5,5265,4083,42.1,0.5,0.85,0.05,0.55,0.25,historical_river_port | lata_rek | nature_pools | railway_heritage | tangga_krai,Federal Road & Express Coach,Majlis Daerah Kuala Krai (MDKualaKrai)
DST_031,Melaka,Melaka Tengah,Melaka Tengah,2.2008,102.2519,13551,25298,21953,34152,21756,21503,58185,20744,Local Resident Social Tolerance,20744,1.22,4554,-0.22,3.0,8686,6891,43.1,0.94,0.229,0.323,0.88,0.761,antique_shops | ayer_keroh | biodiversity | botanical_gardens | bustel | butterfly_sanctuary | canopy_walk | cendol | chicken_rice_balls | city_center | coastal_breeze | coconut_shake | cultural_artifacts | cultural_street | department_stores | dining | dining_precinct | dinosaur_park | eco_education | family_attraction | family_leisure | gsc_cinema | heritage_core_mall | historical_bridges | historical_exhibits | mega_retail | mural_art | nature_jogging | night_illuminations | night_market | night_safari | nyonya_food | pioneer_mall | regional_mall | reptile_park | retail_fashion | river_cruise | royal_customs | sand_dunes | souvenirs | sunset_spot | traditional_wedding | unesco_adjacent | unesco_scenery | unesco_world_heritage | wildlife_conservation | zoological_park,Federal Road & Express Coach,Majlis Bandaraya Melaka Bersejarah (MBMB) / Majlis Perbandaran Hang Tuah Jaya (MPHTJ)
DST_032,Melaka,Alor Gajah,Alor Gajah,2.3831,102.2089,4501,5855,7292,7904,7611,8489,13466,9075,Accommodation Inventory,7292,0.803,0,0.197,3.0,8686,6891,43.1,0.305,0.379,0.614,0.683,0.466,branded_retail | chalets_resort | dutch_windmill | family_getaway | fresh_seafood | golf_resort | ikan_bakar | lake_setting | open_air_outlet | safari_wonderland | swimming_beach | turtle_hatchery | water_theme_park,Federal Road & Express Coach,Majlis Perbandaran Alor Gajah (MPAG) / Majlis Perbandaran Hang Tuah Jaya (MPHTJ)
DST_033,Melaka,Jasin,Jasin,2.3082,102.4326,2197,2275,3559,3071,2957,3299,5232,3526,Attraction Core Space Turnover,2957,0.769,0,0.231,3.0,8686,6891,43.1,0.45,0.8,0.15,0.65,0.35,agritourism_orchards | asahan_waterfall | gunung_ledang_trail | jasin_hot_springs | rural_retreat,Federal Road & Express Coach,Majlis Perbandaran Jasin (MPJ) / Majlis Perbandaran Hang Tuah Jaya (MPHTJ)
DST_034,Negeri Sembilan,Seremban,Seremban,2.7258,101.9424,2972,4159,4815,5614,5406,6030,9565,6446,Accommodation Inventory,4815,0.864,0,0.136,4.0,7305,5591,40.2,0.135,0.214,0.05,0.603,0.871,cinema | civic_square | clock_tower | curtains_carpets | dining_precinct | family_dining | family_recreation | food_trucks | green_lung | islamic_architecture | jogging_track | kite_flying | lake_gardens | large_aeon_mall | night_activities | photo_destination | retail | retail_bazaar | retail_chains | seremban_gateway | shopping | spiritual_landmark | taj_mahal_inspired | textile_wholesale | wedding_decor,Federal Road & Express Coach,Majlis Bandaraya Seremban (MBS)
DST_035,Negeri Sembilan,Port Dickson,Port Dickson,2.5228,101.7959,3458,6566,5602,8864,8536,5581,15102,10177,Clean Water Buffer (SPAN Reserve),5581,1.176,985,-0.176,4.0,7305,5591,40.2,0.265,0.474,0.929,0.637,0.48,ancient_history | archaeology | army_museum | banana_boat | beach_strip | breeze | coastal | family_camping | jet_ski | keramat_ujang_pasir | mangrove_island | megalithic_stones | military_history | picnic | popular_beach | promenade | recreational_park | resort_hotels | retail_shops | seafood | seaside_dining | souvenir_stalls | sunset_plaza | tanks_aircraft | underground_tunnel | water_sports | wooden_bridge,Federal Road & Express Coach,Majlis Perbandaran Port Dickson (MPPD)
DST_036,Negeri Sembilan,Jempol,Jempol,2.8089,102.4058,825,839,1336,1132,1090,1216,1929,1300,Attraction Core Space Turnover,1090,0.769,0,0.231,4.0,7305,5591,40.2,0.3,0.65,0.05,0.55,0.3,agricultural_settlements | felda_agritourism | serting_plains | tasik_bera_boundary,Federal Road & Express Coach,Majlis Perbandaran Jempol (MPJL)
DST_037,Negeri Sembilan,Kuala Pilah,Kuala Pilah,2.7389,102.2489,1053,1100,1706,1486,1431,1596,2531,1706,Attraction Core Space Turnover,1431,0.769,0,0.231,4.0,7305,5591,40.2,0.95,0.75,0.05,0.8,0.35,istana_lama_seri_menanti | minangkabau_royal_heritage | traditional_roofs | ulu_bendul_recreation,Federal Road & Express Coach,Majlis Daerah Kuala Pilah (MDKP)
DST_038,Negeri Sembilan,Rembau,Rembau,2.5897,102.0919,961,993,1557,1341,1291,1440,2285,1540,Attraction Core Space Turnover,1291,0.769,0,0.231,4.0,7305,5591,40.2,0.7,0.75,0.05,0.7,0.3,adat_perpatih | gunung_rembau | minangkabau_homestays | pedas_hot_springs,Federal Road & Express Coach,Majlis Daerah Rembau (MDR)
DST_039,Negeri Sembilan,Tampin,Tampin,2.4706,102.2306,932,947,1510,1279,1232,1374,2179,1468,Attraction Core Space Turnover,1232,0.769,0,0.231,4.0,7305,5591,40.2,0.3,0.4,0.05,0.55,0.7,community_hub | extreme_park | gunung_tampin_backdrop | town_square,Federal Road & Express Coach,Majlis Daerah Tampin (MDTampin)
DST_040,Negeri Sembilan,Jelebu,Jelebu,2.9417,102.0667,843,862,1366,1163,1120,1249,1982,1336,Attraction Core Space Turnover,1120,0.769,0,0.231,4.0,7305,5591,40.2,0.3,0.94,0.05,0.6,0.2,jeram_toi_waterfall | kenaboi_state_park | pineapple_agritourism | rainforest_wilderness,Federal Road & Express Coach,Majlis Daerah Jelebu (MDJelebu)
DST_041,Pahang,Kuantan,Kuantan,3.8126,103.3256,7063,11362,11442,15339,14771,16475,26133,17611,Accommodation Inventory,11442,0.993,0,0.007,5.9,6066,4975,74.2,0.13,0.284,0.36,0.672,0.779,cinema | community_retail | dining | dining_precinct | downtown_kuantan | family_entertainment | flagship_mall | forest_resort | iconic_beach | it_shops | kuantan_city_center | local_dining | mcdonalds_seaside | mining_heritage | modern_mall | monkeys | multiplex_cinema | night_promenade | retail_chains | retail_fashion | rocky_cape | safari_park | sea_of_clouds | stairway_trek | sunrise_hike | water_park,Federal Road & Express Coach,Majlis Bandaraya Kuantan (MBK)
DST_042,Pahang,Bentong,Bentong,3.5222,101.91,7242,11552,11732,15596,15018,16751,26570,17906,Accommodation Inventory,11732,0.985,0,0.015,5.9,6066,4975,74.2,0.125,0.651,0.05,0.801,0.975,cable_car | cable_car_station | casino_resort | cool_mountain | designer_fashion | entertainment | mid_hill | outdoor_outlet | skyworlds_theme_park,Federal Road & Express Coach,Majlis Perbandaran Bentong (MPB)
DST_043,Pahang,Cameron Highlands,Cameron Highlands,4.4735,101.3789,6346,11593,10281,9738,15071,16810,8695,17970,Ecological Slope & Forest KSAS Buffer,8695,1.333,2898,-0.333,5.9,6066,4975,74.2,0.38,0.967,0.05,0.86,0.295,agritourism | cool_climate | fresh_produce | hydroponic_farming | mossy_forest | strawberry_farms | strawberry_picking | tea_plantations | waffles_jam,KTM ETS & Rail,Majlis Daerah Cameron Highlands (MDCH)
DST_044,Pahang,Rompin,Rompin,2.8173,103.4682,2522,3406,4086,4598,4428,4939,7834,5279,Accommodation Inventory,4086,0.834,0,0.166,5.9,6066,4975,74.2,0.3,0.95,0.98,0.8,0.3,coastal_beaches | dive_resorts | endau_rompin_national_park | pulau_tioman_gateway | udang_galah,Federal Road & Express Coach,Majlis Daerah Rompin (MDRompin)
DST_045,Pahang,Temerloh,Temerloh,3.4485,102.4176,2145,2767,3475,3735,3597,4012,6363,4288,Accommodation Inventory,3475,0.796,0,0.204,5.9,6066,4975,74.2,0.5,0.75,0.05,0.98,0.55,kuala_gandah_elephants | patin_tempoyak_capital | pekan_sehari_temerloh | peninsular_centerpoint,Federal Road & Express Coach,Majlis Perbandaran Temerloh (MPT)
DST_046,Pahang,Lipis,Lipis,4.1843,102.0463,1544,1587,2501,2143,2063,2301,3650,2460,Attraction Core Space Turnover,2063,0.769,0,0.231,5.9,6066,4975,74.2,0.92,0.85,0.05,0.65,0.3,british_colonial_trail | clifford_school | jungle_railway | kenong_rimba_park | kuala_lipis_heritage,Federal Road & Express Coach,Majlis Daerah Lipis (MDLipis)
DST_047,Pahang,Raub,Raub,3.7899,101.857,1529,1629,2477,2199,2118,2362,3747,2525,Attraction Core Space Turnover,2118,0.769,0,0.231,5.9,6066,4975,74.2,0.65,0.9,0.05,0.98,0.45,birdwatching | colonial_bungalows | frasers_hill_foothills | mining_heritage | musang_king_durian,Federal Road & Express Coach,Majlis Daerah Raub (MDRaub)
DST_048,Pahang,Jerantut,Jerantut,3.9372,102.3625,1386,1417,2245,1913,1842,2054,3259,2196,Attraction Core Space Turnover,1842,0.769,0,0.231,5.9,6066,4975,74.2,0.35,0.99,0.05,0.6,0.25,canopy_walk | kuala_tahan | oldest_rainforest | orang_asli | tahan_river | taman_negara,Federal Road & Express Coach,Majlis Daerah Jerantut (MDJerantut)
DST_049,Pahang,Pekan,Pekan,3.4836,103.3994,1762,1912,2854,2581,2485,2772,4397,2963,Attraction Core Space Turnover,2485,0.769,0,0.231,5.9,6066,4975,74.2,0.96,0.4,0.65,0.75,0.5,muzium_sultan_abu_bakar | polo_club | riverfront | royal_capital_of_pahang | tenun_pahang_diraja,Federal Road & Express Coach,Majlis Perbandaran Pekan Bandar Diraja (MPPBDR)
DST_050,Pahang,Maran,Maran,3.5861,102.7725,1251,1272,2027,1717,1653,1844,2925,1971,Attraction Core Space Turnover,1653,0.769,0,0.231,5.9,6066,4975,74.2,0.5,0.82,0.05,0.55,0.25,lubuk_yu_waterfall | recreational_forest | sri_marathandavar_temple | tasik_chini_gateway,Federal Road & Express Coach,Majlis Daerah Maran (MDMaran)
DST_051,Pahang,Bera,Bera,3.2458,102.5806,1311,1325,2124,1789,1723,1921,3048,2054,Attraction Core Space Turnover,1723,0.769,0,0.231,5.9,6066,4975,74.2,0.45,0.94,0.05,0.5,0.2,angler_expeditions | peat_swamp_forest | ramsar_wetland | semelai_culture | tasik_bera,Federal Road & Express Coach,Majlis Daerah Bera (MDBera)
DST_052,Pulau Pinang,Timur Laut,Timur Laut,5.4141,100.3288,12685,21124,20550,17744,18167,30630,48586,17322,Local Resident Social Tolerance,17322,1.22,3802,-0.22,1.9,9152,7386,54.4,0.91,0.398,0.521,0.89,0.785,beachfront_dining | bookxcess | cinema | cinemas | cloud9_skywalk | cny_illuminations | colonial_bungalows | cool_breeze | dining | downtown | downtown_george_town | escape_theme_park | flagship_mall | funicular_train | guanyin_bronze_statue | gurney_drive | habitat_rainforest | hawker_adjacent | high_end_retail | historic_monastery | it_gadgets | komtar_connected | luxury_fashion | monkey_beach | night_market | observation_deck | pagoda_of_ten_thousand_buddhas | penang_national_park | rainbow_skywalk | resort_hotels | retail | seafront_promenade | st_joseph_novitiate | sunset_bars | tallest_building_in_penang | theme_park | turtle_beach | unesco_biosphere | value_shopping | water_sports,KTM ETS & Rail,Majlis Bandaraya Pulau Pinang (MBPP)
DST_053,Pulau Pinang,Barat Daya,Barat Daya,5.3341,100.2241,3104,4105,5028,5542,5337,5952,9442,6363,Accommodation Inventory,5028,0.816,0,0.184,1.9,9152,7386,54.4,0.1,0.05,0.6,0.85,0.98,coastal_view | largest_mall_in_penang | retail_chains | seafront_dining,KTM ETS & Rail,Majlis Bandaraya Pulau Pinang (MBPP)
DST_054,Pulau Pinang,Seberang Perai Tengah,Seberang Perai Tengah,5.3683,100.4608,4417,6316,7156,8527,8211,9159,14528,9790,Accommodation Inventory,7156,0.883,0,0.117,1.9,9152,7386,54.4,0.1,0.05,0.05,0.8,0.96,cinema | convention_center | expanded_mall | mainland_penang | seberang_jaya,KTM ETS & Rail,Majlis Bandaraya Seberang Perai (MBSP)
DST_055,Pulau Pinang,Seberang Perai Utara,Seberang Perai Utara,5.492,100.4357,3910,5259,6334,7100,6837,7626,12096,8152,Accommodation Inventory,6334,0.83,0,0.17,1.9,9152,7386,54.4,0.65,0.45,0.8,0.88,0.75,butterworth_art_walk | container_art | pantai_bersih_seafood | penang_ferry | robina_eco_park,KTM ETS & Rail,Majlis Bandaraya Seberang Perai (MBSP)
DST_056,Pulau Pinang,Seberang Perai Selatan,Seberang Perai Selatan,5.2281,100.4912,2345,2607,3799,3520,3390,3781,5997,4041,Attraction Core Space Turnover,3390,0.769,0,0.231,1.9,9152,7386,54.4,0.5,0.4,0.75,0.92,0.85,bukit_tambun_seafood | design_village_outlet | ikea_batu_kawan | pulau_aman_mee_udang,KTM ETS & Rail,Majlis Bandaraya Seberang Perai (MBSP)
DST_057,Perak,Kinta,Kinta,4.5975,101.0901,4785,7569,7752,10218,9839,10974,17408,11731,Accommodation Inventory,7752,0.976,0,0.024,6.9,6173,4687,44.7,0.35,0.29,0.072,0.709,0.865,bowling | british_colonial | cascades | cinema | city_square | downtown_ipoh | family_dining | fashion_retail | flea_market | food_court | halal_hub | heritage_shophouses | heritage_trail | hot_springs | ipoh_white_coffee | lake_boat_ride | limestone_cliffs | limestone_towers | local_delicacies | mini_zoo | morning_bazaar | nature_trekking | neoclassical_architecture | night_bazaar | night_park | old_town | orang_asli_settlement | petting_zoo | retro_collectibles | river_cascade | street_art | street_food | tau_fu_fa | traditional_houses | vintage_antiques | water_theme_park | waterfall,KTM ETS & Rail,Majlis Bandaraya Ipoh (MBI)
DST_058,Perak,Larut & Matang,Larut & Matang,4.85,100.7333,3066,4202,4967,5673,5463,6093,9665,6513,Accommodation Inventory,4967,0.846,0,0.154,6.9,6173,4687,44.7,0.756,0.955,0.05,0.419,0.451,colonial_heritage | conservation | first_public_garden | lake_gardens_adjacent | lake_reflections | night_safari | oldest_zoo_in_malaysia | rain_trees | swan_boats,KTM ETS & Rail,Majlis Perbandaran Taiping (MPT)
DST_059,Perak,Manjung,Manjung,4.1953,100.6622,3222,4848,5220,6545,6303,7030,11151,7515,Accommodation Inventory,5220,0.929,0,0.071,6.9,6173,4687,44.7,0.298,0.543,0.959,0.673,0.444,beaches | camping | coastal_walk | coral_islands | dried_fish_shops | dutch_fort | duty_free_island | family_picnic | fast_ferry_to_pangkor | fishing_villages | hornbill_feeding | island_beach | mainland_beach | man_made_island | naval_town | open_bay | pangkor_ferry_jetty | seafood | snorkeling | sunset_view | water_sports | waterfront_hotel | yacht_marina,KTM ETS & Rail,Majlis Perbandaran Manjung (MPM)
