year,market,spending_category,value_rm_million,percentage_share
2024,Denmark,Organised Tour,9.933,9.19
2024,Denmark,Others,0.0,0.0
2024,Denmark,Shopping,23.043,21.32
2024,Denmark,Sports,0.162,0.15
2024,Finland,Accommodation,18.473,33.97
2024,Finland,All spending categories,54.38,100.0
2024,Finland,Domestic Airfares,0.854,1.57
2024,Finland,Entertainment,3.007,5.53
2024,Finland,Food & Beverages,9.114,16.76
2024,Finland,Fuel,0.011,0.02
2024,Finland,International Airfares,5.607,10.31
2024,Finland,Local Transportation,3.072,5.65
2024,Finland,Medical,0.207,0.38
2024,Finland,Organised Tour,6.428,11.82
2024,Finland,Others,0.0,0.0
2024,Finland,Shopping,7.591,13.96
2024,Finland,Sports,0.016,0.03
2024,France,Accommodation,280.88,30.37
2024,France,All spending categories,924.86,100.0
2024,France,Domestic Airfares,22.382,2.42
2024,France,Entertainment,49.018,5.3
2024,France,Food & Beverages,152.694,16.51
2024,France,Fuel,0.647,0.07
2024,France,International Airfares,73.341,7.93
2024,France,Local Transportation,70.104,7.58
2024,France,Medical,0.74,0.08
2024,France,Organised Tour,93.041,10.06
2024,France,Others,0.925,0.1
2024,France,Shopping,180.625,19.53
2024,France,Sports,0.555,0.06
2024,Germany,Accommodation,273.185,30.78
2024,Germany,All spending categories,887.54,100.0
2024,Germany,Domestic Airfares,24.496,2.76
2024,Germany,Entertainment,48.548,5.47
2024,Germany,Food & Beverages,152.657,17.2
2024,Germany,Fuel,1.154,0.13
2024,Germany,International Airfares,68.341,7.7
2024,Germany,Local Transportation,61.862,6.97
2024,Germany,Medical,0.444,0.05
2024,Germany,Organised Tour,91.594,10.32
2024,Germany,Others,4.083,0.46
2024,Germany,Shopping,159.491,17.97
2024,Germany,Sports,1.686,0.19
2024,India,Accommodation,1181.063,19.33
2024,India,All spending categories,6110.0,100.0
2024,India,Domestic Airfares,131.976,2.16
2024,India,Entertainment,221.793,3.63
2024,India,Food & Beverages,899.392,14.72
2024,India,Fuel,3.666,0.06
2024,India,International Airfares,735.033,12.03
2024,India,Local Transportation,322.608,5.28
2024,India,Medical,5.499,0.09
2024,India,Organised Tour,370.877,6.07
2024,India,Others,2.444,0.04
2024,India,Shopping,2230.15,36.5
2024,India,Sports,5.499,0.09
2024,Indonesia,Accommodation,1882.828,12.29
2024,Indonesia,All spending categories,15320.0,100.0
2024,Indonesia,Domestic Airfares,33.704,0.22
2024,Indonesia,Entertainment,528.54,3.45
2024,Indonesia,Food & Beverages,2006.92,13.1
2024,Indonesia,Fuel,18.384,0.12
2024,Indonesia,International Airfares,680.208,4.44
2024,Indonesia,Local Transportation,1268.496,8.28
2024,Indonesia,Medical,3624.712,23.66
2024,Indonesia,Organised Tour,324.784,2.12
2024,Indonesia,Others,82.728,0.54
2024,Indonesia,Shopping,4851.844,31.67
2024,Indonesia,Sports,16.852,0.11
2024,Iran,Accommodation,63.904,26.16
2024,Iran,All spending categories,244.28,100.0
2024,Iran,Domestic Airfares,1.71,0.7
2024,Iran,Entertainment,9.576,3.92
2024,Iran,Food & Beverages,42.847,17.54
2024,Iran,Fuel,3.224,1.32
2024,Iran,International Airfares,5.301,2.17
2024,Iran,Local Transportation,15.976,6.54
2024,Iran,Medical,0.024,0.01
2024,Iran,Organised Tour,11.261,4.61
2024,Iran,Others,0.0,0.0
2024,Iran,Shopping,90.408,37.01
2024,Iran,Sports,0.049,0.02
2024,Ireland,Accommodation,39.367,32.67
2024,Ireland,All spending categories,120.5,100.0
2024,Ireland,Domestic Airfares,1.048,0.87
2024,Ireland,Entertainment,7.82,6.49
2024,Ireland,Food & Beverages,21.485,17.83
2024,Ireland,Fuel,0.072,0.06
2024,Ireland,International Airfares,8.821,7.32
2024,Ireland,Local Transportation,8.604,7.14
2024,Ireland,Medical,0.06,0.05
2024,Ireland,Organised Tour,10.496,8.71
2024,Ireland,Others,0.012,0.01
2024,Ireland,Shopping,22.534,18.7
2024,Ireland,Sports,0.181,0.15
2024,Italy,Accommodation,101.305,27.46
2024,Italy,All spending categories,368.92,100.0
2024,Italy,Domestic Airfares,11.326,3.07
2024,Italy,Entertainment,24.902,6.75
2024,Italy,Food & Beverages,60.761,16.47
2024,Italy,Fuel,0.111,0.03
2024,Italy,International Airfares,33.387,9.05
2024,Italy,Local Transportation,27.927,7.57
2024,Italy,Medical,2.066,0.56
2024,Italy,Organised Tour,40.065,10.86
2024,Italy,Others,0.184,0.05
2024,Italy,Shopping,65.631,17.79
2024,Italy,Sports,1.254,0.34
2024,Japan,Accommodation,484.903,25.06
2024,Japan,All spending categories,1934.97,100.0
2024,Japan,Domestic Airfares,15.093,0.78
2024,Japan,Entertainment,65.015,3.36
2024,Japan,Food & Beverages,254.449,13.15
2024,Japan,Fuel,0.193,0.01
2024,Japan,International Airfares,367.644,19.0
2024,Japan,Local Transportation,113.196,5.85
2024,Japan,Medical,0.774,0.04
2024,Japan,Organised Tour,118.227,6.11
2024,Japan,Others,23.22,1.2
2024,Japan,Shopping,491.289,25.39
2024,Japan,Sports,0.967,0.05
2024,Kuwait,Accommodation,34.043,27.15
2024,Kuwait,All spending categories,125.39,100.0
2024,Kuwait,Domestic Airfares,1.818,1.45
2024,Kuwait,Entertainment,4.288,3.42
2024,Kuwait,Food & Beverages,18.42,14.69
2024,Kuwait,Fuel,0.075,0.06
2024,Kuwait,International Airfares,0.978,0.78
2024,Kuwait,Local Transportation,7.085,5.65
2024,Kuwait,Medical,0.013,0.01
2024,Kuwait,Organised Tour,6.094,4.86
2024,Kuwait,Others,0.263,0.21
2024,Kuwait,Shopping,52.313,41.72
2024,Kuwait,Sports,0.013,0.01
2024,Netherlands,Accommodation,170.956,34.57
2024,Netherlands,All spending categories,494.52,100.0
2024,Netherlands,Domestic Airfares,12.462,2.52
2024,Netherlands,Entertainment,25.616,5.18
2024,Netherlands,Food & Beverages,78.233,15.82
2024,Netherlands,Fuel,0.148,0.03
2024,Netherlands,International Airfares,37.485,7.58
2024,Netherlands,Local Transportation,34.913,7.06
2024,Netherlands,Medical,0.247,0.05
2024,Netherlands,Organised Tour,61.172,12.37
2024,Netherlands,Others,0.593,0.12
2024,Netherlands,Shopping,72.596,14.68
2024,Netherlands,Sports,0.148,0.03
2024,New Zealand,Accommodation,84.169,28.45
2024,New Zealand,All spending categories,295.85,100.0
2024,New Zealand,Domestic Airfares,4.645,1.57
2024,New Zealand,Entertainment,14.911,5.04
2024,New Zealand,Food & Beverages,40.413,13.66
2024,New Zealand,Fuel,0.03,0.01
2024,New Zealand,International Airfares,33.964,11.48
2024,New Zealand,Local Transportation,14.526,4.91
2024,New Zealand,Medical,1.065,0.36
2024,New Zealand,Organised Tour,58.401,19.74
2024,New Zealand,Others,1.095,0.37
2024,New Zealand,Shopping,42.514,14.37
2024,New Zealand,Sports,0.148,0.05
2024,Norway,Accommodation,31.348,45.36
2024,Norway,All spending categories,69.11,100.0
2024,Norway,Domestic Airfares,2.564,3.71
2024,Norway,Entertainment,1.804,2.61
2024,Norway,Food & Beverages,11.562,16.73
2024,Norway,Fuel,0.09,0.13
2024,Norway,International Airfares,3.78,5.47
2024,Norway,Local Transportation,4.727,6.84
2024,Norway,Medical,0.028,0.04
2024,Norway,Organised Tour,5.045,7.3
2024,Norway,Others,0.0,0.0
2024,Norway,Shopping,8.12,11.75
2024,Norway,Sports,0.035,0.05
2024,Oman,Accommodation,63.339,27.3
2024,Oman,All spending categories,232.01,100.0
2024,Oman,Domestic Airfares,2.9,1.25
2024,Oman,Entertainment,8.538,3.68
2024,Oman,Food & Beverages,35.451,15.28
2024,Oman,Fuel,0.0,0.0
2024,Oman,International Airfares,7.494,3.23
2024,Oman,Local Transportation,15.104,6.51
2024,Oman,Medical,0.023,0.01
2024,Oman,Organised Tour,9.814,4.23
2024,Oman,Others,0.116,0.05
2024,Oman,Shopping,89.231,38.46
2024,Oman,Sports,0.023,0.01
2024,Others,Accommodation,1043.306,20.18
2024,Others,All spending categories,5170.0,100.0
2024,Others,Domestic Airfares,63.591,1.23
2024,Others,Entertainment,154.066,2.98
2024,Others,Food & Beverages,748.099,14.47
2024,Others,Fuel,3.619,0.07
2024,Others,International Airfares,448.239,8.67
2024,Others,Local Transportation,286.418,5.54
2024,Others,Medical,6.204,0.12
2024,Others,Organised Tour,254.364,4.92
2024,Others,Others,18.612,0.36
2024,Others,Shopping,2138.829,41.37
2024,Others,Sports,4.653,0.09
2024,Overall,Accommodation,19316.502,18.09
2024,Overall,All spending categories,106780.0,100.0
2024,Overall,Domestic Airfares,2552.042,2.39
2024,Overall,Entertainment,2317.126,2.17
2024,Overall,Food & Beverages,17191.58,16.1
2024,Overall,Fuel,1110.512,1.04
2024,Overall,International Airfares,8691.892,8.14
2024,Overall,Local Transportation,6075.782,5.69
2024,Overall,Medical,5050.694,4.73
2024,Overall,Organised Tour,4089.674,3.83
2024,Overall,Others,320.34,0.3
2024,Overall,Shopping,39893.008,37.36
2024,Overall,Sports,160.17,0.15
2024,Pakistan,Accommodation,117.285,21.44
2024,Pakistan,All spending categories,547.04,100.0
2024,Pakistan,Domestic Airfares,15.262,2.79
2024,Pakistan,Entertainment,14.715,2.69
2024,Pakistan,Food & Beverages,87.034,15.91
2024,Pakistan,Fuel,1.532,0.28
2024,Pakistan,International Airfares,11.652,2.13
2024,Pakistan,Local Transportation,32.275,5.9
2024,Pakistan,Medical,0.055,0.01
2024,Pakistan,Organised Tour,26.203,4.79
2024,Pakistan,Others,1.751,0.32
2024,Pakistan,Shopping,236.157,43.17
2024,Pakistan,Sports,3.118,0.57
2024,Philippines,Accommodation,322.262,17.86
2024,Philippines,All spending categories,1804.38,100.0
2024,Philippines,Domestic Airfares,3.067,0.17
2024,Philippines,Entertainment,35.727,1.98
2024,Philippines,Food & Beverages,266.326,14.76
2024,Philippines,Fuel,0.902,0.05
2024,Philippines,International Airfares,263.259,14.59
2024,Philippines,Local Transportation,87.693,4.86
2024,Philippines,Medical,2.346,0.13
2024,Philippines,Organised Tour,126.487,7.01
2024,Philippines,Others,3.428,0.19
2024,Philippines,Shopping,687.288,38.09
2024,Philippines,Sports,5.052,0.28
2024,Russia,Accommodation,179.177,28.5
2024,Russia,All spending categories,628.69,100.0
2024,Russia,Domestic Airfares,13.328,2.12
2024,Russia,Entertainment,24.77,3.94
2024,Russia,Food & Beverages,96.252,15.31
2024,Russia,Fuel,0.189,0.03
2024,Russia,International Airfares,64.064,10.19
2024,Russia,Local Transportation,45.58,7.25
2024,Russia,Medical,1.509,0.24
2024,Russia,Organised Tour,34.955,5.56
2024,Russia,Others,6.413,1.02
2024,Russia,Shopping,162.202,25.8
2024,Russia,Sports,0.314,0.05
2024,Saudi Arabia,Accommodation,210.729,29.27
2024,Saudi Arabia,All spending categories,719.95,100.0
2024,Saudi Arabia,Domestic Airfares,21.886,3.04
2024,Saudi Arabia,Entertainment,26.494,3.68
2024,Saudi Arabia,Food & Beverages,107.849,14.98
2024,Saudi Arabia,Fuel,0.432,0.06
2024,Saudi Arabia,International Airfares,8.567,1.19
2024,Saudi Arabia,Local Transportation,41.613,5.78
2024,Saudi Arabia,Medical,0.072,0.01
2024,Saudi Arabia,Organised Tour,26.566,3.69
2024,Saudi Arabia,Others,3.528,0.49
2024,Saudi Arabia,Shopping,272.213,37.81
2024,Saudi Arabia,Sports,0.072,0.01
2024,Singapore,Accommodation,4210.558,15.07
2024,Singapore,All spending categories,27940.0,100.0
2024,Singapore,Domestic Airfares,986.282,3.53
2024,Singapore,Entertainment,751.586,2.69
2024,Singapore,Food & Beverages,4590.542,16.43
2024,Singapore,Fuel,293.37,1.05
2024,Singapore,International Airfares,360.426,1.29
2024,Singapore,Local Transportation,1573.022,5.63
2024,Singapore,Medical,30.734,0.11
2024,Singapore,Organised Tour,430.276,1.54
2024,Singapore,Others,86.614,0.31
2024,Singapore,Shopping,14565.122,52.13
2024,Singapore,Sports,58.674,0.21
2024,South Africa,Accommodation,23.274,26.49
2024,South Africa,All spending categories,87.86,100.0
2024,South Africa,Domestic Airfares,0.062,0.07
2024,South Africa,Entertainment,5.737,6.53
2024,South Africa,Food & Beverages,11.132,12.67
2024,South Africa,Fuel,0.044,0.05
2024,South Africa,International Airfares,9.586,10.91
2024,South Africa,Local Transportation,4.235,4.82
2024,South Africa,Medical,0.035,0.04
2024,South Africa,Organised Tour,5.834,6.64
2024,South Africa,Others,0.474,0.54
2024,South Africa,Shopping,27.404,31.19
2024,South Africa,Sports,0.044,0.05
2024,South Korea,Accommodation,532.126,18.34
2024,South Korea,All spending categories,2901.45,100.0
2024,South Korea,Domestic Airfares,32.206,1.11
2024,South Korea,Entertainment,173.507,5.98
2024,South Korea,Food & Beverages,396.048,13.65
2024,South Korea,Fuel,0.29,0.01
2024,South Korea,International Airfares,600.89,20.71
2024,South Korea,Local Transportation,183.081,6.31
2024,South Korea,Medical,2.611,0.09
2024,South Korea,Organised Tour,361.811,12.47
2024,South Korea,Others,6.673,0.23
2024,South Korea,Shopping,604.952,20.85
2024,South Korea,Sports,7.544,0.26
2024,Spain,Accommodation,104.77,29.96
2024,Spain,All spending categories,349.7,100.0
2024,Spain,Domestic Airfares,7.344,2.1
2024,Spain,Entertainment,17.24,4.93
2024,Spain,Food & Beverages,58.365,16.69
2024,Spain,Fuel,0.14,0.04
2024,Spain,International Airfares,33.816,9.67
2024,Spain,Local Transportation,27.766,7.94
2024,Spain,Medical,0.28,0.08
2024,Spain,Organised Tour,29.48,8.43
2024,Spain,Others,0.979,0.28
2024,Spain,Shopping,69.311,19.82
2024,Spain,Sports,0.245,0.07
2024,Sweden,Accommodation,39.564,33.18
2024,Sweden,All spending categories,119.24,100.0
2024,Sweden,Domestic Airfares,0.918,0.77
2024,Sweden,Entertainment,7.596,6.37
2024,Sweden,Food & Beverages,22.429,18.81
2024,Sweden,Fuel,0.191,0.16
2024,Sweden,International Airfares,9.658,8.1
2024,Sweden,Local Transportation,6.964,5.84
2024,Sweden,Medical,0.024,0.02
2024,Sweden,Organised Tour,13.426,11.26
2024,Sweden,Others,0.405,0.34
2024,Sweden,Shopping,18.029,15.12
2024,Sweden,Sports,0.036,0.03
2024,Switzerland,Accommodation,54.152,37.38
2024,Switzerland,All spending categories,144.87,100.0
2024,Switzerland,Domestic Airfares,3.781,2.61
2024,Switzerland,Entertainment,7.924,5.47
2024,Switzerland,Food & Beverages,22.556,15.57
2024,Switzerland,Fuel,0.043,0.03
2024,Switzerland,International Airfares,11.083,7.65
2024,Switzerland,Local Transportation,8.2,5.66
2024,Switzerland,Medical,0.159,0.11
2024,Switzerland,Organised Tour,18.587,12.83
2024,Switzerland,Others,0.0,0.0
2024,Switzerland,Shopping,18.341,12.66
2024,Switzerland,Sports,0.058,0.04
2024,Thailand,Accommodation,956.004,23.96
2024,Thailand,All spending categories,3990.0,100.0
2024,Thailand,Domestic Airfares,74.613,1.87
2024,Thailand,Entertainment,158.004,3.96
2024,Thailand,Food & Beverages,673.512,16.88
2024,Thailand,Fuel,104.139,2.61
2024,Thailand,International Airfares,82.992,2.08
2024,Thailand,Local Transportation,292.068,7.32
2024,Thailand,Medical,9.177,0.23
2024,Thailand,Organised Tour,98.952,2.48
2024,Thailand,Others,33.915,0.85
2024,Thailand,Shopping,1495.851,37.49
2024,Thailand,Sports,10.773,0.27
2024,U.S.A,Accommodation,552.195,33.33
2024,U.S.A,All spending categories,1656.75,100.0
2024,U.S.A,Domestic Airfares,24.354,1.47
2024,U.S.A,Entertainment,103.05,6.22
2024,U.S.A,Food & Beverages,259.116,15.64
2024,U.S.A,Fuel,1.988,0.12
2024,U.S.A,International Airfares,116.635,7.04
2024,U.S.A,Local Transportation,93.606,5.65
2024,U.S.A,Medical,3.148,0.19
2024,U.S.A,Organised Tour,107.854,6.51
2024,U.S.A,Others,2.154,0.13
2024,U.S.A,Shopping,390.993,23.6
2024,U.S.A,Sports,1.657,0.1
2024,United Arab Emirates,Accommodation,21.022,24.97
2024,United Arab Emirates,All spending categories,84.19,100.0
2024,United Arab Emirates,Domestic Airfares,0.926,1.1
2024,United Arab Emirates,Entertainment,2.307,2.74
2024,United Arab Emirates,Food & Beverages,10.987,13.05
2024,United Arab Emirates,Fuel,0.025,0.03
2024,United Arab Emirates,International Airfares,0.328,0.39
2024,United Arab Emirates,Local Transportation,4.521,5.37
2024,United Arab Emirates,Medical,0.0,0.0
2024,United Arab Emirates,Organised Tour,3.166,3.76
2024,United Arab Emirates,Others,0.455,0.54
2024,United Arab Emirates,Shopping,40.453,48.05
2024,United Arab Emirates,Sports,0.008,0.01
2024,United Kingdom,Accommodation,732.694,29.9
2024,United Kingdom,All spending categories,2450.48,100.0
2024,United Kingdom,Domestic Airfares,51.705,2.11
2024,United Kingdom,Entertainment,159.526,6.51
2024,United Kingdom,Food & Beverages,383.99,15.67
2024,United Kingdom,Fuel,1.96,0.08
2024,United Kingdom,International Airfares,224.954,9.18
2024,United Kingdom,Local Transportation,159.281,6.5
2024,United Kingdom,Medical,2.941,0.12
2024,United Kingdom,Organised Tour,254.605,10.39
2024,United Kingdom,Others,4.656,0.19
2024,United Kingdom,Shopping,472.453,19.28
2024,United Kingdom,Sports,1.715,0.07
2024,Vietnam,Accommodation,102.303,7.83
2024,Vietnam,All spending categories,1306.55,100.0
2024,Vietnam,Domestic Airfares,0.653,0.05
2024,Vietnam,Entertainment,37.367,2.86
2024,Vietnam,Food & Beverages,192.063,14.7
2024,Vietnam,Fuel,0.0,0.0
2024,Vietnam,International Airfares,102.434,7.84
2024,Vietnam,Local Transportation,34.624,2.65
2024,Vietnam,Medical,3.528,0.27
2024,Vietnam,Organised Tour,19.468,1.49
2024,Vietnam,Others,1.96,0.15
2024,Vietnam,Shopping,809.8,61.98
2024,Vietnam,Sports,2.221,0.17
2023,Australia,Accommodation,0.0,0.0
2023,Australia,All spending categories,2114.36,100.0
2023,Australia,Domestic Airfares,0.0,0.0
2023,Australia,Entertainment,0.0,0.0
2023,Australia,Food & Beverages,0.0,0.0
2023,Australia,Fuel,0.0,0.0
2023,Australia,International Airfares,0.0,0.0
2023,Australia,Local Transportation,0.0,0.0
2023,Australia,Medical,0.0,0.0
2023,Australia,Organised Tour,0.0,0.0
2023,Australia,Others,0.0,0.0
2023,Australia,Shopping,0.0,0.0
2023,Australia,Sports,0.0,0.0
2023,Belgium,Accommodation,0.0,0.0
2023,Belgium,All spending categories,90.09,100.0
2023,Belgium,Domestic Airfares,0.0,0.0
2023,Belgium,Entertainment,0.0,0.0
2023,Belgium,Food & Beverages,0.0,0.0
2023,Belgium,Fuel,0.0,0.0
2023,Belgium,International Airfares,0.0,0.0
2023,Belgium,Local Transportation,0.0,0.0
2023,Belgium,Medical,0.0,0.0
2023,Belgium,Organised Tour,0.0,0.0
2023,Belgium,Others,0.0,0.0
2023,Belgium,Shopping,0.0,0.0
2023,Belgium,Sports,0.0,0.0
2023,Brunei Darussalam,Accommodation,0.0,0.0
2023,Brunei Darussalam,All spending categories,2099.56,100.0
2023,Brunei Darussalam,Domestic Airfares,0.0,0.0
2023,Brunei Darussalam,Entertainment,0.0,0.0
2023,Brunei Darussalam,Food & Beverages,0.0,0.0
2023,Brunei Darussalam,Fuel,0.0,0.0
2023,Brunei Darussalam,International Airfares,0.0,0.0
2023,Brunei Darussalam,Local Transportation,0.0,0.0
2023,Brunei Darussalam,Medical,0.0,0.0
2023,Brunei Darussalam,Organised Tour,0.0,0.0
2023,Brunei Darussalam,Others,0.0,0.0
2023,Brunei Darussalam,Shopping,0.0,0.0
2023,Brunei Darussalam,Sports,0.0,0.0
2023,Canada,Accommodation,0.0,0.0
2023,Canada,All spending categories,409.72,100.0
2023,Canada,Domestic Airfares,0.0,0.0
2023,Canada,Entertainment,0.0,0.0
2023,Canada,Food & Beverages,0.0,0.0
2023,Canada,Fuel,0.0,0.0
2023,Canada,International Airfares,0.0,0.0
2023,Canada,Local Transportation,0.0,0.0
2023,Canada,Medical,0.0,0.0
2023,Canada,Organised Tour,0.0,0.0
2023,Canada,Others,0.0,0.0
2023,Canada,Shopping,0.0,0.0
2023,Canada,Sports,0.0,0.0
2023,China,Accommodation,0.0,0.0
2023,China,All spending categories,8880.0,100.0
2023,China,Domestic Airfares,0.0,0.0
2023,China,Entertainment,0.0,0.0
2023,China,Food & Beverages,0.0,0.0
2023,China,Fuel,0.0,0.0
2023,China,International Airfares,0.0,0.0
2023,China,Local Transportation,0.0,0.0
2023,China,Medical,0.0,0.0
2023,China,Organised Tour,0.0,0.0
2023,China,Others,0.0,0.0
2023,China,Shopping,0.0,0.0
2023,China,Sports,0.0,0.0
2023,Chinese Taipei,Accommodation,0.0,0.0
2023,Chinese Taipei,All spending categories,1624.42,100.0
2023,Chinese Taipei,Domestic Airfares,0.0,0.0
2023,Chinese Taipei,Entertainment,0.0,0.0
2023,Chinese Taipei,Food & Beverages,0.0,0.0
2023,Chinese Taipei,Fuel,0.0,0.0
2023,Chinese Taipei,International Airfares,0.0,0.0
2023,Chinese Taipei,Local Transportation,0.0,0.0
2023,Chinese Taipei,Medical,0.0,0.0
2023,Chinese Taipei,Organised Tour,0.0,0.0
2023,Chinese Taipei,Others,0.0,0.0
2023,Chinese Taipei,Shopping,0.0,0.0
2023,Chinese Taipei,Sports,0.0,0.0
2023,Denmark,Accommodation,0.0,0.0
2023,Denmark,All spending categories,87.72,100.0
2023,Denmark,Domestic Airfares,0.0,0.0
2023,Denmark,Entertainment,0.0,0.0
2023,Denmark,Food & Beverages,0.0,0.0
2023,Denmark,Fuel,0.0,0.0
2023,Denmark,International Airfares,0.0,0.0
2023,Denmark,Local Transportation,0.0,0.0
2023,Denmark,Medical,0.0,0.0
2023,Denmark,Organised Tour,0.0,0.0
2023,Denmark,Others,0.0,0.0
2023,Denmark,Shopping,0.0,0.0
2023,Denmark,Sports,0.0,0.0
2023,Finland,Accommodation,0.0,0.0
2023,Finland,All spending categories,44.96,100.0
2023,Finland,Domestic Airfares,0.0,0.0
2023,Finland,Entertainment,0.0,0.0
2023,Finland,Food & Beverages,0.0,0.0
2023,Finland,Fuel,0.0,0.0
2023,Finland,International Airfares,0.0,0.0
2023,Finland,Local Transportation,0.0,0.0
2023,Finland,Medical,0.0,0.0
2023,Finland,Organised Tour,0.0,0.0
2023,Finland,Others,0.0,0.0
2023,Finland,Shopping,0.0,0.0
2023,Finland,Sports,0.0,0.0
2023,France,Accommodation,0.0,0.0
2023,France,All spending categories,623.52,100.0
2023,France,Domestic Airfares,0.0,0.0
2023,France,Entertainment,0.0,0.0
2023,France,Food & Beverages,0.0,0.0
2023,France,Fuel,0.0,0.0
2023,France,International Airfares,0.0,0.0
2023,France,Local Transportation,0.0,0.0
2023,France,Medical,0.0,0.0
2023,France,Organised Tour,0.0,0.0
2023,France,Others,0.0,0.0
2023,France,Shopping,0.0,0.0
2023,France,Sports,0.0,0.0
2023,Germany,Accommodation,0.0,0.0
2023,Germany,All spending categories,703.01,100.0
2023,Germany,Domestic Airfares,0.0,0.0
2023,Germany,Entertainment,0.0,0.0
2023,Germany,Food & Beverages,0.0,0.0
2023,Germany,Fuel,0.0,0.0
2023,Germany,International Airfares,0.0,0.0
2023,Germany,Local Transportation,0.0,0.0
2023,Germany,Medical,0.0,0.0
2023,Germany,Organised Tour,0.0,0.0
2023,Germany,Others,0.0,0.0
2023,Germany,Shopping,0.0,0.0
2023,Germany,Sports,0.0,0.0
2023,India,Accommodation,0.0,0.0
2023,India,All spending categories,3410.0,100.0
2023,India,Domestic Airfares,0.0,0.0
2023,India,Entertainment,0.0,0.0
2023,India,Food & Beverages,0.0,0.0
2023,India,Fuel,0.0,0.0
2023,India,International Airfares,0.0,0.0
2023,India,Local Transportation,0.0,0.0
2023,India,Medical,0.0,0.0
2023,India,Organised Tour,0.0,0.0
2023,India,Others,0.0,0.0
2023,India,Shopping,0.0,0.0
